,accession,duf_number
548,PF07799,DUF1643
549,PF07816,DUF1645
550,PF07854,DUF1646
551,PF07801,DUF1647
552,PF07864,DUF1651
553,PF07865,DUF1652
554,PF07869,DUF1656
555,PF07870,DUF1657
556,PF07872,DUF1659
557,PF07874,DUF1660
558,PF07877,DUF1661
559,PF07909,DUF1663
560,PF07889,DUF1664
561,PF07892,DUF1667
562,PF07898,DUF1676
563,PF07913,DUF1678
564,PF07920,DUF1684
565,PF07937,DUF1686
566,PF07958,DUF1688
567,PF07956,DUF1690
568,PF07997,DUF1694
569,PF08002,DUF1697
570,PF08004,DUF1699
571,PF08020,DUF1706
572,PF08044,DUF1707
573,PF07843,DUF1634
574,PF07795,DUF1635
575,PF07845,DUF1636
576,PF07852,DUF1642
577,PF07800,DUF1644
578,PF07853,DUF1648
579,PF07891,DUF1666
580,PF07893,DUF1677
581,PF07900,DUF1670
582,PF07901,DUF1672
583,PF07895,DUF1673
584,PF07911,DUF1677
585,PF07939,DUF1685
586,PF07957,DUF3294
587,PF08012,DUF1702
588,PF07626,DUF1587
589,PF07627,DUF1588
590,PF07631,DUF1592
591,PF07637,DUF1595
592,PF07579,DUF1548
593,PF08224,DUF1719
594,PF08226,DUF1720
595,PF11436,DUF3199
596,PF08331,DUF1730
597,PF08338,DUF1731
598,PF08349,DUF1722
599,PF08409,DUF1736
600,PF08410,DUF1737
601,PF08508,DUF1746
602,PF08560,DUF1757
603,PF08570,DUF1761
604,PF08576,DUF1764
605,PF08590,DUF1771
606,PF08611,DUF1774
607,PF08643,DUF1776
608,PF10029,DUF2271
609,PF11349,DUF3151
610,PF08682,DUF1780
611,PF08735,DUF1786
612,PF08795,DUF1796
613,PF08811,DUF1800
614,PF08819,DUF1802
615,PF08820,DUF1803
616,PF08827,DUF1805
617,PF08830,DUF1806
618,PF08837,DUF1810
619,PF08844,DUF1815
620,PF08846,DUF1816
621,PF08848,DUF1818
622,PF08850,DUF1820
623,PF08852,DUF1822
624,PF08853,DUF1823
625,PF08854,DUF1824
626,PF08855,DUF1825
627,PF08856,DUF1826
628,PF08860,DUF1827
629,PF08861,DUF1828
630,PF08862,DUF1829
631,PF08865,DUF1830
632,PF08874,DUF1835
633,PF08875,DUF1833
634,PF08876,DUF1836
635,PF08893,DUF1839
636,PF08894,DUF1838
637,PF08895,DUF1840
638,PF08896,DUF1842
639,PF08897,DUF1841
640,PF08898,DUF1843
641,PF08899,DUF1844
642,PF08901,DUF1847
643,PF08902,DUF1848
644,PF08905,DUF1850
645,PF08907,DUF1853
646,PF08909,DUF1854
647,PF08921,DUF1904
648,PF08922,DUF1905
649,PF08925,DUF1907
650,PF08930,DUF1912
651,PF08940,DUF1918
652,PF08942,DUF1919
653,PF08953,DUF1899
654,PF08958,DUF1871
655,PF08963,DUF1878
656,PF08966,DUF1882
657,PF08968,DUF1885
658,PF08972,DUF1902
659,PF08973,DUF1893
660,PF08974,DUF1877
661,PF08975,DUF1868
662,PF08980,DUF1883
663,PF08984,DUF1858
664,PF08986,DUF1889
665,PF08987,DUF1892
666,PF08989,DUF1896
667,PF09082,DUF1922
668,PF09083,DUF1923
669,PF09086,DUF1924
670,PF09123,DUF1931
671,PF09148,DUF1934
672,PF09149,DUF1935
673,PF09151,DUF1936
674,PF09152,DUF1937
675,PF09155,DUF1940
676,PF09183,DUF1947
677,PF09185,DUF1948
678,PF09188,DUF1951
679,PF09205,DUF1955
680,PF09224,DUF1961
681,PF09234,DUF1963
682,PF09248,DUF1965
683,PF09314,DUF1972
684,PF09320,DUF1977
685,PF09321,DUF1978
686,PF09331,DUF1985
687,PF05117,DUF695
688,PF10083,DUF2321
689,PF11059,DUF2860
690,PF09902,DUF2129
691,PF12543,DUF3738
692,PF09351,DUF1993
693,PF09362,DUF1996
694,PF09406,DUF2004
695,PF09413,DUF2007
696,PF09435,DUF2015
697,PF09436,DUF2016
698,PF09442,DUF2018
699,PF09449,DUF2020
700,PF09450,DUF2019
701,PF09630,DUF2024
702,PF09633,DUF2023
703,PF09640,DUF2027
704,PF09641,DUF2026
705,PF09823,DUF2357
706,PF09831,DUF2058
707,PF09832,DUF2059
708,PF09834,DUF2061
709,PF09835,DUF2062
710,PF09839,DUF2066
711,PF09842,DUF2069
712,PF09844,DUF2071
713,PF09849,DUF2076
714,PF09855,DUF2082
715,PF09859,DUF2086
716,PF09860,DUF2087
717,PF09862,DUF2089
718,PF09863,DUF2090
719,PF09866,DUF2093
720,PF09868,DUF2095
721,PF09874,DUF2101
722,PF09876,DUF2103
723,PF09898,DUF2125
724,PF09899,DUF2126
725,PF09909,DUF2138
726,PF09911,DUF2140
727,PF09912,DUF2141
728,PF09913,DUF2142
729,PF09919,DUF2149
730,PF09925,DUF2157
731,PF09928,DUF2160
732,PF09929,DUF2161
733,PF09932,DUF2164
734,PF09933,DUF2165
735,PF09935,DUF2167
736,PF09937,DUF2169
737,PF09939,DUF2171
738,PF09941,DUF2173
739,PF09943,DUF2175
740,PF09945,DUF2177
741,PF09953,DUF2187
742,PF09954,DUF2188
743,PF09955,DUF2189
744,PF09958,DUF2192
745,PF09959,DUF2193
746,PF09960,DUF2194
747,PF09961,DUF2195
748,PF09965,DUF2199
749,PF09969,DUF2203
750,PF09970,DUF2204
751,PF09971,DUF2206
752,PF09972,DUF2207
753,PF09977,DUF2134
754,PF09980,DUF2214
755,PF09986,DUF2225
756,PF09989,DUF2229
757,PF09991,DUF2232
758,PF09996,DUF2237
759,PF09998,DUF2239
760,PF09999,DUF2240
761,PF10000,DUF2241
762,PF10001,DUF2242
763,PF10002,DUF2243
764,PF10006,DUF2249
765,PF10009,DUF2252
766,PF10011,DUF2254
767,PF10016,DUF2259
768,PF10025,DUF2267
769,PF10026,DUF2268
770,PF10027,DUF2269
771,PF10031,DUF2273
772,PF10038,DUF2274
773,PF10039,DUF2275
774,PF10041,DUF2277
775,PF10043,DUF2279
776,PF10045,DUF2280
777,PF10047,DUF2281
778,PF10052,DUF2288
779,PF10053,DUF2290
780,PF10055,DUF2292
781,PF10056,DUF2293
782,PF10060,DUF2298
783,PF10061,DUF2299
784,PF10062,DUF2300
785,PF10067,DUF2306
